,symptom,expected_disease,gpt-4o-mini,gemini-1.5-flash,gpt-4o-mini_accuracy1,gpt-4o-mini_accuracy2,gpt-4o-mini_accuracy_overall,gemini-1.5-flash_accuracy1,gemini-1.5-flash_accuracy2,gemini-1.5-flash_accuracy_overall
145,"I've been having to go to the toilet a lot more frequently than normal, and my urine has been cloudy and smells strongly. I've also been feeling feverish.",urinary tract infection,"1. urinary tract infection (uti) - [true]
2. diabetes mellitus - [also_possible]
3. kidney infection (pyelonephritis) - [more_info]","1. urinary tract infection (uti) - [true]
2. kidney infection (pyelonephritis) - [also_possible]
3. diabetes - [more_info]
",1,1,1,1,1,1
146,I've been throwing up and having stomach pain. I've also lost weight and am really exhausted. I have a high fever and yellow skin.,jaundice,"1. hepatitis - [true]
2. pancreatitis - [also_possible]
3. gastroenteritis - [false]
4. cholecystitis - [false]","1. hepatitis a - [more_info]
2. hepatitis b - [more_info]
3. hepatitis c - [more_info]
4. pancreatitis - [more_info]
5. gastroenteritis - [more_info]
6. liver cancer - [more_info]
",0,0,0,0,0,0
147,I've been throwing up and having stomach pain. I've also lost weight and am really exhausted. I have a high fever and yellow skin.,jaundice,"1. hepatitis - [true]
2. pancreatitis - [also_possible]
3. gastroenteritis - [false]
4. cholecystitis - [false]","1. hepatitis a - [more_info]
2. hepatitis b - [more_info]
3. hepatitis c - [more_info]
4. pancreatitis - [more_info]
5. gallstones - [more_info]
6. stomach cancer - [more_info]
",0,0,0,0,0,0
148,"I have a fever, and I can't breathe well. My heart is racing, and I'm sweating a lot. I feel cold and tired, and I'm about to cough up some brown phlegm.",pneumonia,"1. pneumonia - [true]
2. bronchitis - [also_possible]
3. covid-19 - [true]
4. influenza - [false]
5. tuberculosis - [more_info]","1. pneumonia - [true]
2. influenza - [also_possible]
3. acute bronchitis - [more_info]
4. covid-19 - [more_info]

",1,1,1,1,1,1
149,"I have a fever, and I can't breathe well. My heart is racing, and I'm sweating a lot. I feel cold and tired, and I'm about to cough up some brown phlegm.",pneumonia,"1. pneumonia - [true]
2. bronchitis - [also_possible]
3. covid-19 - [true]
4. influenza - [also_possible]
5. tuberculosis - [more_info]","1. pneumonia - [also_possible]
2. influenza - [true]
3. acute bronchitis - [true]
4. covid-19 - [true]

**note:**  the symptoms described are consistent with several respiratory illnesses.  influenza is marked as true as fever, cough, and body aches are common.  however, the difficulty breathing, racing heart, sweating, and brown phlegm raise concern for more serious conditions like pneumonia and covid-19,  making them also highly possible.  acute bronchitis is also possible given the cough and phlegm.  further investigation (e.g., chest x-ray, blood tests, viral testing) is crucial to determine the specific diagnosis.
",1,1,1,1,1,1
150,I have a lot of pain in my lymph nodes. I have rashes all over my body and I cannot sleep at night because of them.,chicken pox,"1. lymphoma - [true]
2. infectious mononucleosis - [true]
3. systemic lupus erythematosus - [also_possible]
4. allergic reaction - [false]
5. viral exanthema - [false]","1. systemic lupus erythematosus - [possible]
2.  lyme disease - [possible]
3.  infectious mononucleosis - [possible]
4.  allergic reaction (severe) - [possible]


**note:**  this is not a diagnosis.  the symptoms described warrant immediate medical attention.  the possibilities listed require proper medical evaluation, including blood tests and physical examination, to determine the accurate diagnosis.
",0,0,0,0,0,0
151,I have a lot of pain in my lymph nodes. I have rashes all over my body and I cannot sleep at night because of them.,chicken pox,"1. lymphoma - [true]
2. infectious mononucleosis - [true]
3. systemic lupus erythematosus - [also_possible]
4. allergic reaction - [false]
5. viral exanthema - [false]","1. systemic lupus erythematosus - [more_info]
2. lymphoma - [more_info]
3.  atopic dermatitis (eczema) - [more_info]
4.  drug reaction - [more_info]


",0,0,0,0,0,0
152,I have a rash that won't go away and it itches. I also have some color-different areas and bumps on my skin that resemble knots or lumps.,fungal infection,"1. eczema - [true]
2. psoriasis - [true]
3. contact dermatitis - [false]
4. skin infection - [false]
5. hives - [false]","1. atopic dermatitis - [also_possible]
2. psoriasis - [also_possible]
3. contact dermatitis - [also_possible]
4.  lichen planus - [also_possible]
5.  skin cancer (various types) - [more_info] 
",0,0,0,0,0,0
153,I have a rash that won't go away and it itches. I also have some color-different areas and bumps on my skin that resemble knots or lumps.,fungal infection,"1. eczema - [true]
2. psoriasis - [true]
3. contact dermatitis - [false]
4. skin infection - [more_info]","1. eczema - [more_info]
2. psoriasis - [more_info]
3. allergic contact dermatitis - [more_info]
4.  skin cancer (various types) - [more_info]
",0,0,0,0,0,0
154,"I've been having a lot of trouble breathing, and I feel like I'm constantly nauseous. I also have mild belly pain. It's been really scary.",typhoid,"1. asthma - [true]
2. chronic obstructive pulmonary disease (copd) - [also_possible]
3. gastroesophageal reflux disease (gerd) - [true]
4. peptic ulcer disease - [more_info]","1. pneumonia - [more_info]
2. gastroenteritis - [more_info]
3. pancreatitis - [more_info]
4. pleurisy - [more_info]
",0,0,0,0,0,0
155,"I've been having a lot of trouble breathing, and I feel like I'm constantly nauseous. I also have mild belly pain. It's been really scary.",typhoid,"1. asthma - [true]
2. chronic obstructive pulmonary disease (copd) - [also_possible]
3. gastroesophageal reflux disease (gerd) - [true]
4. peptic ulcer disease - [more_info]","1. pneumonia - [more_info]
2. gastroenteritis - [more_info]
3. pancreatitis - [more_info]
4. asthma exacerbation - [more_info]
5. heart failure - [more_info]

",0,0,0,0,0,0
156,I have trouble swallowing food because my throat feels like it's closing up and I have a bad taste in my mouth.,gastroesophageal reflux disease,"1. esophageal stricture - [true]
2. gastroesophageal reflux disease (gerd) - [true]
3. allergic reaction - [also_possible]
4. throat cancer - [more_info]","1. globus sensation - [also_possible]
2.  esophageal cancer - [more_info]
3.  gastroesophageal reflux disease (gerd) - [more_info]
4.  infectious esophagitis - [more_info]
",0,1,1,0,0,1
157,I have trouble swallowing food because my throat feels like it's closing up and I have a bad taste in my mouth.,gastroesophageal reflux disease,"1. esophageal stricture - [true]
2. gastroesophageal reflux disease (gerd) - [true]
3. allergic reaction - [also_possible]
4. throat cancer - [more_info]","1. globus sensation - [also_possible]
2. gastroesophageal reflux disease (gerd) - [true]
3. esophageal cancer - [more_info]
4.  achalasia - [more_info]
",0,1,1,0,1,1
158,"I've been having headaches, blurred vision, and acid reflux. I also have a stiff neck, depression, impatience, and excessive appetite.",migraine,"1. migraine - [true]
2. tension-type headache - [true]
3. cervical spondylosis - [also_possible]
4. anxiety disorder - [true]
5. gastroesophageal reflux disease (gerd) - [true]
6. depression - [true]","1. migraine - [possible]
2. hypertension - [possible]
3. gastroesophageal reflux disease (gerd) - [possible]
4. depression - [possible]

**note:**  the symptoms provided are common to many conditions and don't definitively point to any one disease.  headaches, blurred vision, and stiff neck could indicate migraine or other neurological issues. acid reflux suggests gerd.  depression is a separate but potentially related condition, as some conditions can exacerbate or be exacerbated by depression. the excessive appetite might be a symptom of a hormonal imbalance or a side effect of medication (if applicable).  hypertension is included due to the potential connection between headaches and high blood pressure.  further investigation (medical examination, blood tests, etc.) is crucial for a proper diagnosis.
",1,1,1,1,1,1
159,"I've been having headaches, blurred vision, and acid reflux. I also have a stiff neck, depression, impatience, and excessive appetite.",migraine,"1. migraine - [true]
2. tension-type headache - [true]
3. cervical spondylosis - [also_possible]
4. gastroesophageal reflux disease (gerd) - [true]
5. depression - [true]
6. anxiety disorder - [also_possible]","1. migraine - [possible]
2. hypertension - [possible]
3. gastroesophageal reflux disease (gerd) - [possible]
4. depression - [possible]
5. multiple sclerosis (ms) - [more_info]
",1,1,1,1,1,1
160,"I have been developing sores on my face and nose area for a few days now. I am not sure what is causing this. The sores on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin. I am also feeling a little bit feverish and have a headache.",impetigo,"1. herpes simplex virus (cold sores) - [true]
2. impetigo - [true]
3. cellulitis - [also_possible]
4. folliculitis - [false]
5. contact dermatitis - [false]","1. herpes simplex virus (hsv) - [also_possible]
2. impetigo - [also_possible]
3. cellulitis - [also_possible]
4. lupus - [more_info]
5. rosacea - [more_info]

",0,1,1,0,1,1
161,"I have been developing sores on my face and nose area for a few days now. I am not sure what is causing this. The sores on my face are swollen and tender to the touch, and I have a burning sensation and redness of the skin. I am also feeling a little bit feverish and have a headache.",impetigo,"1. herpes simplex virus (cold sores) - [true]
2. bacterial skin infection (e.g., impetigo) - [also_possible]
3. contact dermatitis - [false]
4. acne vulgaris - [false]
5. shingles (herpes zoster) - [false]","1. herpes simplex virus (hsv) - [true]
2. impetigo - [also_possible]
3. cellulitis - [more_info]
",0,1,1,0,1,1
162,"I have been having severe joint pain for a few days. I have also been vomiting and have a fever. I have been taking medication for the fever, but it doesn't seem to be helping.",dengue,"1. rheumatoid arthritis - [false]
2. viral infection (e.g., influenza) - [true]
3. septic arthritis - [more_info]
4. lyme disease - [more_info]","1. influenza - [also_possible]
2. dengue fever - [more_info]
3. septic arthritis - [more_info]
4. lyme disease - [more_info]
5. rheumatoid arthritis (flare-up) - [more_info]

**reasoning:**

the combination of fever, vomiting, and severe joint pain points towards several possibilities.  influenza can present with these symptoms, although the severity of joint pain is less typical. dengue fever is a possibility given the fever and joint pain, but needs more information to confirm.  septic arthritis is a serious infection of a joint and needs to be ruled out given the severity of the joint pain. lyme disease can manifest with these symptoms but requires additional information regarding potential tick bites or exposure.  a flare-up of rheumatoid arthritis is possible, especially if the patient has a history of the condition, but again more information is needed.
",0,0,0,0,1,1
163,"I have been having severe joint pain for a few days. I have also been vomiting and have a fever. I have been taking medication for the fever, but it doesn't seem to be helping.",dengue,"1. rheumatoid arthritis - [false]
2. viral infection - [true]
3. septic arthritis - [also_possible]
4. influenza - [true]","1. influenza - [possible]
2. septic arthritis - [possible]
3. dengue fever - [possible]
4. lyme disease - [possible]

**note:**  the symptoms described (severe joint pain, vomiting, fever unresponsive to medication) are non-specific and could indicate a wide range of conditions.  more information is needed for a definitive diagnosis.  the above are possibilities based on the overlapping symptoms, but further investigation (blood tests, physical exam, etc.) is crucial.
",0,0,0,0,0,1
164,"I have red, itchy skin. It can sometimes flake. My cheeks and lips swell, which is really annoying. I sometimes have headaches and runny eyes because of the puffiness.",allergy,"1. allergic reaction - [true]
2. eczema - [also_possible]
3. psoriasis - [false]
4. contact dermatitis - [false]
5. angioedema - [true]","1. atopic dermatitis (eczema) - [true]
2. allergic contact dermatitis - [also_possible]
3. rosacea - [more_info]
",0,0,0,0,0,0
165,"I have red, itchy skin. It can sometimes flake. My cheeks and lips swell, which is really annoying. I sometimes have headaches and runny eyes because of the puffiness.",allergy,"1. allergic reaction - [true]
2. eczema - [also_possible]
3. psoriasis - [false]
4. contact dermatitis - [also_possible]
5. angioedema - [true]","1. atopic dermatitis (eczema) - [true]
2. allergic contact dermatitis - [also_possible]
3. rosacea - [more_info]
",0,0,0,0,0,0
166,I've been having stiffness and weakness in my neck muscles. My joints are stiff and it's hard to move them. Walking is also painful.,arthritis,"1. rheumatoid arthritis - [true]
2. cervical spondylosis - [true]
3. fibromyalgia - [also_possible]
4. osteoarthritis - [false]
5. meningitis - [false]","1. rheumatoid arthritis - [true]
2. cervical spondylosis - [also_possible]
3. fibromyalgia - [true]
",1,1,1,1,1,1
167,I've been having stiffness and weakness in my neck muscles. My joints are stiff and it's hard to move them. Walking is also painful.,arthritis,"1. rheumatoid arthritis - [true]
2. cervical spondylosis - [true]
3. fibromyalgia - [also_possible]
4. osteoarthritis - [false]
5. meningitis - [false]","1. rheumatoid arthritis - [possible]
2. cervical spondylosis - [possible]
3. fibromyalgia - [possible]
4. polymyalgia rheumatica - [possible]

",1,1,1,1,1,1
168,I have a rash that sometimes causes my skin to peel off. I'm more susceptible to illnesses as a result. I also get shaky and my hands shake sometimes.,drug reaction,"1. psoriasis - [true]
2. eczema - [also_possible]
3. diabetes - [more_info]","1.  severe combined immunodeficiency (scid) - [more_info]
2.  pityriasis rubra pilaris - [more_info]
3.  staphylococcal scalded skin syndrome (ssss) - [more_info]
4.  parkinson's disease - [more_info]

**note:** the shaking hands could indicate a neurological condition, while the rash and susceptibility to illness point towards an immunodeficiency or a skin condition.  more information is needed to assess these possibilities.  the peeling skin could be related to several conditions, hence the multiple possibilities.
",0,0,0,0,0,0
169,I have a rash that sometimes causes my skin to peel off. I'm more susceptible to illnesses as a result. I also get shaky and my hands shake sometimes.,drug reaction,"1. psoriasis - [true]
2. eczema - [also_possible]
3. diabetes - [more_info]","1. staphylococcal scalded skin syndrome (ssss) - [possible]
2.  toxic epidermal necrolysis (ten) - [possible]
3.  severe combined immunodeficiency (scid) - [more_info]
4.  parkinson's disease - [more_info]
",0,0,0,0,0,0
170,I've been having a scratchy throat and I'm feeling exhausted. My skin is also feeling dry and I sometimes get eye inflammation.,allergy,"1. allergies - [true]
2. viral pharyngitis - [true]
3. chronic fatigue syndrome - [also_possible]
4. sjögren's syndrome - [more_info]","1. common cold - [also_possible]
2. influenza - [also_possible]
3. allergies - [also_possible]
4. dry eye disease - [also_possible]
5. covid-19 - [more_info]
",0,0,0,0,0,0
171,I've been having a scratchy throat and I'm feeling exhausted. My skin is also feeling dry and I sometimes get eye inflammation.,allergy,"1. allergies - [true]
2. viral pharyngitis - [true]
3. chronic fatigue syndrome - [also_possible]
4. sjögren's syndrome - [more_info]","1. common cold - [also_possible]
2. influenza - [also_possible]
3. allergies - [also_possible]
4. covid-19 - [more_info]
5. dry eye disease - [more_info]
6.  strep throat - [more_info]

",0,0,0,0,0,0
172,I have a hard time concentrating and my emotions are all over the place. I feel like I'm in a fog and it's hard to do simple tasks.,diabetes,"1. depression - [true]
2. anxiety disorder - [true]
3. attention deficit hyperactivity disorder (adhd) - [also_possible]
4. chronic fatigue syndrome - [more_info]","1. attention-deficit/hyperactivity disorder (adhd) - [more_info]
2. depression - [more_info]
3. anxiety disorder - [more_info]
4. traumatic brain injury (tbi) - [more_info]
5. hypothyroidism - [more_info]
",0,0,0,0,0,0
173,I have a hard time concentrating and my emotions are all over the place. I feel like I'm in a fog and it's hard to do simple tasks.,diabetes,"1. depression - [true]
2. anxiety disorder - [true]
3. attention deficit hyperactivity disorder (adhd) - [also_possible]
4. chronic fatigue syndrome - [more_info]","1. attention-deficit/hyperactivity disorder (adhd) - [more_info]
2. depression - [more_info]
3. anxiety disorder - [more_info]
4. traumatic brain injury (tbi) - [more_info]
5. hypothyroidism - [more_info]

",0,0,0,0,0,0
174,"I'm running a fever and I have a rash on my face, neck, and arms. The rash is painful and red. I'm worried about my health.",impetigo,"1. scarlet fever - [true]
2. measles - [true]
3. lupus - [also_possible]
4. drug reaction - [true]
5. erythema multiforme - [more_info]","1. rubella - [more_info]
2. scarlet fever - [more_info]
3. measles - [more_info]
4. systemic lupus erythematosus - [more_info]
5. drug reaction - [more_info]

**note:**  fever and rash are non-specific symptoms that could indicate many different conditions.  further information, including the appearance of the rash (e.g., pictures), duration of symptoms, other symptoms (e.g., headache, muscle aches, joint pain), and medical history are needed to provide a more accurate assessment.  a medical professional should be consulted for proper diagnosis and treatment.
",0,0,0,0,0,0
175,"I'm running a fever and I have a rash on my face, neck, and arms. The rash is painful and red. I'm worried about my health.",impetigo,"1. scarlet fever - [true]
2. measles - [true]
3. lupus - [also_possible]
4. drug reaction - [true]
5. erythema multiforme - [more_info]","1. rubella - [more_info]
2. scarlet fever - [more_info]
3. measles - [more_info]
4. kawasaki disease - [more_info]
5. systemic lupus erythematosus - [more_info]

",0,0,0,0,0,0
176,"I've been having a hard time peeing. It hurts when I go, and it's bloody. My head hurts, and my urine smells really bad. I can't control when I have to go, and it's really urgent when I do.",urinary tract infection,"1. urinary tract infection (uti) - [true]
2. kidney stones - [also_possible]
3. bladder infection (cystitis) - [true]
4. prostatitis - [more_info]
5. interstitial cystitis - [more_info]","1. urinary tract infection (uti) - [true]
2. prostatitis - [also_possible]
3. bladder cancer - [more_info]
4. kidney stones - [more_info]
",1,1,1,1,1,1
177,"I've been having a hard time peeing. It hurts when I go, and it's bloody. My head hurts, and my urine smells really bad. I can't control when I have to go, and it's really urgent when I do.",urinary tract infection,"1. urinary tract infection (uti) - [true]
2. kidney stones - [also_possible]
3. bladder infection (cystitis) - [true]
4. prostatitis - [more_info]
5. interstitial cystitis - [more_info]","1. urinary tract infection (uti) - [true]
2. prostatitis - [also_possible]
3. bladder cancer - [more_info]
4. kidney stones - [more_info]
5. meningitis - [more_info]

**reasoning:**

the burning, bloody urine, urgency, and frequency strongly suggest a uti.  the headache adds complexity, making prostatitis (if male) and other conditions possible.  however, the symptom profile doesn't definitively rule out more serious conditions like bladder cancer or kidney stones, which require further investigation. the headache could be unrelated or a sign of something more serious like meningitis, but this is less likely given the urinary symptoms.  more information (age, gender, other symptoms, medical history) is needed to assess the likelihood of each condition accurately.
",1,1,1,1,1,1
178,"I have itchy, swollen skin that sometimes flakes. My cheeks and lips swell and it hurts a lot. I also get headaches and watery eyes from the puffing.",allergy,"1. allergic reaction - [true]
2. eczema - [also_possible]
3. contact dermatitis - [false]
4. angioedema - [true]
5. psoriasis - [false]","1. allergic contact dermatitis - [true]
2. atopic dermatitis (eczema) - [also_possible]
3. angioedema - [more_info]
",0,0,0,0,0,0
179,"I have itchy, swollen skin that sometimes flakes. My cheeks and lips swell and it hurts a lot. I also get headaches and watery eyes from the puffing.",allergy,"1. allergic reaction - [true]
2. eczema - [also_possible]
3. contact dermatitis - [false]
4. angioedema - [true]
5. psoriasis - [false]","1. allergic contact dermatitis - [true]
2. atopic dermatitis (eczema) - [also_possible]
3. angioedema - [more_info]
",0,0,0,0,0,0
180,"I've been having headaches and chest pains for a few days, but today the dizziness and lack of balance got a lot worse.",hypertension,"1. stroke - [true]
2. heart attack - [true]
3. migraine - [false]
4. anxiety disorder - [false]
5. vertigo - [more_info]","1. stroke - [more_info]
2. migraine - [more_info]
3. cardiac arrhythmia - [more_info]
4. vestibular neuritis - [more_info]
",0,0,0,0,0,0
181,"I've been having headaches and chest pains for a few days, but today the dizziness and lack of balance got a lot worse.",hypertension,"1. stroke - [true]
2. myocardial infarction (heart attack) - [true]
3. anxiety disorder - [also_possible]
4. migraine - [false]
5. vertigo - [false]","1. stroke - [more_info]
2. migraine - [more_info]
3. cardiovascular disease - [more_info]
4. inner ear infection - [more_info]
",0,0,0,0,0,0
182,I've had a bad cold for a few days. I've been coughing up phlegm and my chest hurts. I can't smell anything and my muscles are sore.,common cold,"1. influenza - [true]
2. covid-19 - [true]
3. pneumonia - [also_possible]
4. bronchitis - [false]
5. common cold - [false]","1. common cold - [true]
2. influenza (flu) - [also_possible]
3. covid-19 - [also_possible]
4. bronchitis - [more_info]
5. pneumonia - [more_info]

**reasoning:**

the symptoms (cough, phlegm, chest pain, muscle aches) are common to several respiratory illnesses.  the loss of smell is particularly suggestive of viral infections like the flu or covid-19, but can also occur with other conditions.  more information is needed to rule out or confirm bronchitis and pneumonia.  a common cold is the most likely initial diagnosis given the duration and symptom presentation, but the other possibilities must also be considered.
",0,0,1,1,1,1
183,I've had a bad cold for a few days. I've been coughing up phlegm and my chest hurts. I can't smell anything and my muscles are sore.,common cold,"1. influenza - [true]
2. covid-19 - [true]
3. pneumonia - [also_possible]
4. bronchitis - [false]
5. common cold - [false]","1. influenza - [also_possible]
2. covid-19 - [also_possible]
3. acute bronchitis - [true]
4. pneumonia - [more_info]
5. common cold (rhinovirus) - [true]

**reasoning:**

the symptoms (cough with phlegm, chest pain, muscle aches) are consistent with several respiratory illnesses.  the loss of smell points towards covid-19 or influenza, but is also possible with other viral infections. acute bronchitis is a likely diagnosis given the cough and phlegm.  pneumonia is possible, but needs further investigation (e.g., chest x-ray) to rule in or out.  a common cold is always a consideration, however the intensity and additional symptoms suggest something more than a typical cold.  further information is needed to definitively rule out or confirm covid-19 and influenza,  hence the [also_possible] designation, with a preference given to acute bronchitis based on the prominence of the cough and chest pain.
",0,0,1,0,0,1
184,"I've been feeling really itchy all over my body, and I've been having chills and nausea. I've been sweating a lot and I have a really high fever. I feel sick to my stomach and I have a headache. My muscles are really sore.",malaria,"1. influenza - [true]
2. covid-19 - [true]
3. dengue fever - [also_possible]
4. allergic reaction - [false]
5. malaria - [more_info]","1. influenza - [also_possible]
2. viral meningitis - [more_info]
3.  chickenpox - [more_info]
4.  drug reaction - [more_info]
5. sepsis - [more_info]

",0,0,1,0,0,0
185,"I've been feeling really itchy all over my body, and I've been having chills and nausea. I've been sweating a lot and I have a really high fever. I feel sick to my stomach and I have a headache. My muscles are really sore.",malaria,"1. influenza - [true]
2. covid-19 - [true]
3. dengue fever - [also_possible]
4. allergic reaction - [false]
5. malaria - [more_info]","1. influenza - [also_possible]
2. viral exanthema (e.g., measles, rubella) - [more_info]
3. sepsis - [more_info]
",0,0,1,0,0,0
186,I have a rash all over my body that is red and swollen. It is itchy and uncomfortable. I also have a fever.,chicken pox,"1. allergic reaction - [true]
2. eczema - [false]
3. psoriasis - [false]
4. viral exanthem - [true]
5. scarlet fever - [also_possible]","1.  measles - [more_info]
2.  scarlet fever - [more_info]
3.  chickenpox - [more_info]
4.  drug reaction - [more_info]
5.  systemic lupus erythematosus - [more_info]

",0,0,0,0,0,0
187,I have a rash all over my body that is red and swollen. It is itchy and uncomfortable. I also have a fever.,chicken pox,"1. allergic reaction - [true]
2. eczema - [false]
3. psoriasis - [false]
4. viral exanthem - [true]
5. scarlet fever - [more_info]","1. measles - [more_info]
2. scarlet fever - [more_info]
3. allergic reaction - [more_info]
4. drug reaction - [more_info]
5. systemic lupus erythematosus - [more_info]

",0,0,0,0,0,0
188,"I have asthma and get wheezing and breathing issues. I also have fevers, headaches, and I'm always tired.",allergy,"1. asthma - [true]
2. pneumonia - [true]
3. chronic obstructive pulmonary disease (copd) - [also_possible]
4. influenza - [true]
5. covid-19 - [more_info]","1. asthma - [true]
2. influenza - [also_possible]
3. pneumonia - [more_info]
4. bronchitis - [more_info]
5. covid-19 - [more_info]

",0,0,0,0,0,0
189,"I have asthma and get wheezing and breathing issues. I also have fevers, headaches, and I'm always tired.",allergy,"1. asthma - [true]
2. pneumonia - [true]
3. chronic obstructive pulmonary disease (copd) - [also_possible]
4. influenza - [true]
5. sleep apnea - [false]","1. asthma - [true]
2. bronchitis - [also_possible]
3. pneumonia - [also_possible]
4. influenza - [also_possible]
5. covid-19 - [also_possible]

**note:**  the presence of fever, headache, and fatigue in addition to wheezing and breathing problems makes several other respiratory and infectious diseases possible besides asthma.  further investigation (e.g., chest x-ray, blood tests, viral testing) is needed to determine the precise diagnosis.
",0,0,0,0,0,0
190,"My muscles are weak, my neck is stiff, and my joints are swollen. I can't move around very well, and walking is really painful.",arthritis,"1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. myasthenia gravis - [more_info]","1. rheumatoid arthritis - [true]
2. lupus - [more_info]
3. fibromyalgia - [also_possible]
4. polymyalgia rheumatica - [more_info]

",1,1,1,1,1,1
191,"My muscles are weak, my neck is stiff, and my joints are swollen. I can't move around very well, and walking is really painful.",arthritis,"1. rheumatoid arthritis - [true]
2. fibromyalgia - [also_possible]
3. myasthenia gravis - [more_info]","1. rheumatoid arthritis - [true]
2. lupus - [more_info]
3. fibromyalgia - [more_info]
4. polymyalgia rheumatica - [more_info]

",1,1,1,1,1,1
192,I have been experiencing a severe fever for the past 3 days. I also have a headache and pain behind my eyes. I feel very tired and exhausted. I cannot do any work.,dengue,"1. dengue fever - [true]
2. influenza - [also_possible]
3. malaria - [more_info]","1. influenza - [true]
2. covid-19 - [also_possible]
3. meningitis - [more_info]
4. malaria - [more_info]

",1,1,1,0,0,0
193,I have been experiencing a severe fever for the past 3 days. I also have a headache and pain behind my eyes. I feel very tired and exhausted. I cannot do any work.,dengue,"1. dengue fever - [true]
2. influenza - [also_possible]
3. malaria - [more_info]","1. influenza - [possible]
2. malaria - [more_info]
3. covid-19 - [possible]
4. meningitis - [possible]

",1,1,1,0,0,0
194,"I have a fever, headache, and I'm tired all the time. I don't want to eat anything.",chicken pox,"1. influenza - [true]
2. covid-19 - [true]
3. mononucleosis - [also_possible]
4. meningitis - [more_info]","1. influenza - [true]
2. covid-19 - [also_possible]
3. mononucleosis - [more_info]
4. typhoid fever - [more_info]
",0,0,0,0,0,0
195,"I have a fever, headache, and I'm tired all the time. I don't want to eat anything.",chicken pox,"1. influenza - [true]
2. covid-19 - [true]
3. mononucleosis - [also_possible]
4. meningitis - [false]
5. malaria - [false]","1. influenza - [also_possible]
2. covid-19 - [also_possible]
3. mononucleosis - [more_info]
4. typhoid fever - [more_info]
",0,0,0,0,0,0
196,"I have skin irritations and rashes, especially in the crevices of my skin. My skin bruises and cuts take a while to heal as well.",diabetes,"1. eczema - [true]
2. psoriasis - [also_possible]
3. dermatitis - [true]
4. diabetes-related skin conditions - [more_info]","1. eczema - [more_info]
2. psoriasis - [more_info]
3. scurvy - [more_info]
4.  atopic dermatitis - [more_info]
5.  infectious disease (e.g., fungal infection) - [more_info]

",0,0,1,0,0,0
197,"I have skin irritations and rashes, especially in the crevices of my skin. My skin bruises and cuts take a while to heal as well.",diabetes,"1. eczema - [true]
2. psoriasis - [also_possible]
3. contact dermatitis - [true]
4. diabetes-related skin conditions - [more_info]","1. eczema - [also_possible]
2.  psoriasis - [also_possible]
3.  scurvy - [more_info]
4.  atopic dermatitis - [more_info]
5.  diabetes - [more_info]

",0,0,1,0,0,1
198,I have been having cramps in my calves when I walk or stand for a long time. I also have some very noticeable veins in my legs.,varicose veins,"1. peripheral artery disease (pad) - [true]
2. chronic venous insufficiency (cvi) - [true]
3. deep vein thrombosis (dvt) - [false]","1. varicose veins - [true]
2. deep vein thrombosis (dvt) - [more_info]
3. peripheral artery disease (pad) - [more_info]
",0,0,0,1,1,1
199,I have been having cramps in my calves when I walk or stand for a long time. I also have some very noticeable veins in my legs.,varicose veins,"1. chronic venous insufficiency - [true]
2. peripheral artery disease - [also_possible]
3. deep vein thrombosis - [false]","1. varicose veins - [true]
2. deep vein thrombosis (dvt) - [also_possible]
3. peripheral artery disease (pad) - [more_info]
",0,0,0,1,1,1
200,"I have been having headaches for a while now. They are really bad and make it hard to concentrate. I also have blurred vision, and I feel really nauseous. I'm not sure what's causing it, but I'm hoping you can help me figure it out.",migraine,"1. migraine - [true]
2. tension-type headache - [false]
3. cluster headache - [false]
4. intracranial hypertension - [true]
5. brain tumor - [also_possible]
6. concussion - [false]
7. sinusitis - [false]
8. meningitis - [more_info]","1. migraine - [true]
2. brain tumor - [more_info]
3. meningitis - [more_info]
",1,1,1,1,1,1
201,"I have been having headaches for a while now. They are really bad and make it hard to concentrate. I also have blurred vision, and I feel really nauseous. I'm not sure what's causing it, but I'm hoping you can help me figure it out.",migraine,"1. migraine - [true]
2. tension headache - [false]
3. cluster headache - [false]
4. intracranial hypertension - [true]
5. brain tumor - [also_possible]
6. concussion - [false]
7. sinusitis - [false]
8. meningitis - [more_info]","1. migraine - [also_possible]
2. brain tumor - [more_info]
3. meningitis - [more_info]
",1,1,1,1,1,1
202,"I've been having a headache all day, and it's been getting worse. I also have chest pain and dizziness. I'm having trouble concentrating and focusing.",hypertension,"1. migraine - [true]
2. tension headache - [false]
3. cluster headache - [false]
4. anxiety disorder - [also_possible]
5. heart attack - [more_info]
6. stroke - [more_info]","1. migraine - [also_possible]
2. stroke - [possible]
3. cardiac ischemia - [possible]
4. anxiety attack - [possible]
",0,0,0,0,0,0
203,"I've been having a headache all day, and it's been getting worse. I also have chest pain and dizziness. I'm having trouble concentrating and focusing.",hypertension,"1. migraine - [true]
2. tension headache - [false]
3. cluster headache - [false]
4. anxiety disorder - [also_possible]
5. heart attack - [more_info]
6. stroke - [more_info]","1. migraine - [also_possible]
2. cardiovascular disease (e.g., angina, heart attack) - [more_info]
3. subarachnoid hemorrhage - [more_info]
4. anxiety/panic attack - [more_info]
",0,0,0,0,0,0
